2025-06-06 17:47:11,125 - INFO - [4H] BTC-USDT-SWAP 2025-05-18 08:00 整 趋势=downtrend, OB={'top': 104375.1, 'bottom': 104088.1}
2025-06-06 17:47:12,677 - INFO - [4H] 识别到趋势: downtrend, OB: {'top': 104375.1, 'bottom': 104088.1}
2025-06-06 17:47:12,678 - INFO - [4H] BTC-USDT-SWAP 2025-05-18 12:00 整 趋势=downtrend, OB={'top': 104375.1, 'bottom': 104088.1}
2025-06-06 17:47:13,806 - INFO - [4H] 识别到趋势: downtrend, OB: {'top': 104375.1, 'bottom': 104088.1}
2025-06-06 17:47:13,806 - INFO - [4H] BTC-USDT-SWAP 2025-05-18 16:00 整 趋势=downtrend, OB={'top': 104375.1, 'bottom': 104088.1}
2025-06-06 17:47:14,968 - INFO - [4H] 识别到趋势: downtrend, OB: {'top': 104375.1, 'bottom': 104088.1}
2025-06-06 17:47:14,968 - INFO - [4H] BTC-USDT-SWAP 2025-05-18 20:00 整 趋势=downtrend, OB={'top': 104375.1, 'bottom': 104088.1}
2025-06-06 17:47:16,837 - INFO - [4H] 识别到趋势: downtrend, OB: {'top': 104375.1, 'bottom': 104088.1}
2025-06-06 17:47:16,837 - INFO - [4H] BTC-USDT-SWAP 2025-05-19 00:00 整 趋势=downtrend, OB={'top': 104375.1, 'bottom': 104088.1}
2025-06-06 17:47:19,597 - INFO - [4H] 识别到趋势: downtrend, OB: {'top': 104375.1, 'bottom': 104088.1}
2025-06-06 17:47:19,597 - INFO - [4H] BTC-USDT-SWAP 2025-05-19 04:00 整 趋势=downtrend, OB={'top': 104375.1, 'bottom': 104088.1}
2025-06-06 17:47:20,850 - INFO - [4H] 识别到趋势: downtrend, OB: {'top': 104375.1, 'bottom': 104088.1}
2025-06-06 17:47:20,851 - INFO - [4H] BTC-USDT-SWAP 2025-05-19 08:00 整 趋势=downtrend, OB={'top': 104375.1, 'bottom': 104088.1}
2025-06-06 17:47:22,133 - INFO - [4H] 识别到趋势: uptrend, OB: {'top': 105480.6, 'bottom': 103835.7}
2025-06-06 17:47:22,134 - INFO - [4H] BTC-USDT-SWAP 2025-05-19 12:00 整 趋势=uptrend, OB={'top': 105480.6, 'bottom': 103835.7}
2025-06-06 17:47:23,144 - INFO - [4H] 识别到趋势: downtrend, OB: {'top': 106435.0, 'bottom': 103835.7}
2025-06-06 17:47:23,145 - INFO - [4H] BTC-USDT-SWAP 2025-05-19 16:00 整 趋势=downtrend, OB={'top': 106435.0, 'bottom': 103835.7}
2025-06-06 17:47:24,370 - INFO - [4H] 识别到趋势: downtrend, OB: {'top': 106435.0, 'bottom': 103835.7}
2025-06-06 17:47:24,371 - INFO - [4H] BTC-USDT-SWAP 2025-05-19 20:00 整 趋势=downtrend, OB={'top': 106435.0, 'bottom': 103835.7}
2025-06-06 17:47:28,111 - INFO - [4H] 识别到趋势: downtrend, OB: {'top': 106435.0, 'bottom': 103835.7}
2025-06-06 17:47:28,112 - INFO - [4H] BTC-USDT-SWAP 2025-05-20 00:00 整 趋势=downtrend, OB={'top': 106435.0, 'bottom': 103835.7}
2025-06-06 17:47:31,613 - INFO - [4H] 识别到趋势: downtrend, OB: {'top': 106435.0, 'bottom': 103835.7}
2025-06-06 17:47:31,613 - INFO - [4H] BTC-USDT-SWAP 2025-05-20 04:00 整 趋势=downtrend, OB={'top': 106435.0, 'bottom': 103835.7}
