2025-06-03 16:32:33,833 - INFO - [4H] BTC-USDT-SWAP 趋势=downtrend, OB={'top': 95542.1, 'bottom': 95415.2}
2025-06-03 16:32:35,055 - INFO - [4H] 识别到趋势: downtrend, OB: {'top': 95542.1, 'bottom': 95415.2}
2025-06-03 16:32:35,056 - INFO - [4H] BTC-USDT-SWAP 趋势=downtrend, OB={'top': 95542.1, 'bottom': 95415.2}
2025-06-03 16:32:36,294 - INFO - [4H] 识别到趋势: downtrend, OB: {'top': 95542.1, 'bottom': 95415.2}
2025-06-03 16:32:36,294 - INFO - [4H] BTC-USDT-SWAP 趋势=downtrend, OB={'top': 95542.1, 'bottom': 95415.2}
2025-06-03 16:32:38,409 - INFO - [4H] 识别到趋势: downtrend, OB: {'top': 94300.0, 'bottom': 93733.9}
2025-06-03 16:32:38,409 - INFO - [4H] BTC-USDT-SWAP 趋势=downtrend, OB={'top': 94300.0, 'bottom': 93733.9}
2025-06-03 16:32:40,267 - INFO - [4H] 识别到趋势: downtrend, OB: {'top': 94300.0, 'bottom': 93733.9}
2025-06-03 16:32:40,267 - INFO - [4H] BTC-USDT-SWAP 趋势=downtrend, OB={'top': 94300.0, 'bottom': 93733.9}
2025-06-03 16:32:41,500 - INFO - [4H] 识别到趋势: downtrend, OB: {'top': 94300.0, 'bottom': 93733.9}
2025-06-03 16:32:41,500 - INFO - [4H] BTC-USDT-SWAP 趋势=downtrend, OB={'top': 94300.0, 'bottom': 93733.9}
2025-06-03 16:32:43,521 - INFO - [4H] 识别到趋势: uptrend, OB: {'top': 94344.1, 'bottom': 93773.0}
