2025-06-10 16:23:01,839 - INFO - [4H] PI-USDT-SWAP 2025-05-16 20:00 整 趋势=uptrend, OB={'top': 0.7398, 'bottom': 0.717}
2025-06-10 16:23:03,764 - INFO - [4H] 识别到趋势: uptrend, OB: {'top': 0.7398, 'bottom': 0.717}
2025-06-10 16:23:03,764 - INFO - [4H] PI-USDT-SWAP 2025-05-17 00:00 整 趋势=uptrend, OB={'top': 0.7398, 'bottom': 0.717}
2025-06-10 16:23:05,038 - INFO - [4H] 识别到趋势: uptrend, OB: {'top': 0.7398, 'bottom': 0.717}
2025-06-10 16:23:05,038 - INFO - [4H] PI-USDT-SWAP 2025-05-17 04:00 整 趋势=uptrend, OB={'top': 0.7398, 'bottom': 0.717}
2025-06-10 16:23:06,481 - INFO - [4H] 识别到趋势: uptrend, OB: {'top': 0.7398, 'bottom': 0.717}
2025-06-10 16:23:06,482 - INFO - [4H] PI-USDT-SWAP 2025-05-17 08:00 整 趋势=uptrend, OB={'top': 0.7398, 'bottom': 0.717}
2025-06-10 16:23:08,238 - INFO - [4H] 识别到趋势: uptrend, OB: {'top': 0.7398, 'bottom': 0.717}
2025-06-10 16:23:08,239 - INFO - [4H] PI-USDT-SWAP 2025-05-17 12:00 整 趋势=uptrend, OB={'top': 0.7398, 'bottom': 0.717}
2025-06-10 16:23:09,518 - INFO - [4H] 识别到趋势: downtrend, OB: {'top': 0.8893, 'bottom': 0.8667}
2025-06-10 16:23:09,519 - INFO - [4H] PI-USDT-SWAP 2025-05-17 16:00 整 趋势=downtrend, OB={'top': 0.8893, 'bottom': 0.8667}
2025-06-10 16:23:11,255 - INFO - [4H] 识别到趋势: downtrend, OB: {'top': 0.8893, 'bottom': 0.8667}
2025-06-10 16:23:11,255 - INFO - [4H] PI-USDT-SWAP 2025-05-17 20:00 整 趋势=downtrend, OB={'top': 0.8893, 'bottom': 0.8667}
2025-06-10 16:23:12,558 - INFO - [4H] 识别到趋势: downtrend, OB: {'top': 0.8893, 'bottom': 0.8667}
2025-06-10 16:23:12,559 - INFO - [4H] PI-USDT-SWAP 2025-05-18 00:00 整 趋势=downtrend, OB={'top': 0.8893, 'bottom': 0.8667}
2025-06-10 16:23:13,997 - INFO - [4H] 识别到趋势: downtrend, OB: {'top': 0.8893, 'bottom': 0.8667}
2025-06-10 16:23:13,998 - INFO - [4H] PI-USDT-SWAP 2025-05-18 04:00 整 趋势=downtrend, OB={'top': 0.8893, 'bottom': 0.8667}
2025-06-10 16:23:15,435 - INFO - [4H] 识别到趋势: downtrend, OB: {'top': 0.8893, 'bottom': 0.8667}
2025-06-10 16:23:15,436 - INFO - [4H] PI-USDT-SWAP 2025-05-18 08:00 整 趋势=downtrend, OB={'top': 0.8893, 'bottom': 0.8667}
2025-06-10 16:23:16,720 - INFO - [4H] 识别到趋势: downtrend, OB: {'top': 0.8893, 'bottom': 0.8667}
